type,step,pnl
buy,3419,
sell,3443,-24.443605467122325
sell_short,3452,
buy_cover,3470,90.94420227637602
buy,3501,
sell,3513,-138.4308064084653
sell_short,3535,
buy_cover,3559,60.92903566110181
sell_short,3568,
buy_cover,3581,-29.49898146651867
sell_short,3592,
buy_cover,3596,-28.40516457949525
buy,3598,
sell,3602,-40.714500051404684
sell_short,3604,
buy_cover,3608,-22.643849927215342
sell_short,3609,
buy_cover,3633,44.6374809651752
sell_short,3634,
buy_cover,3637,-53.85854672051937
buy,3647,
sell,3650,-59.08683212625692
sell_short,3661,
buy_cover,3685,10.518413742644043
sell_short,3688,
buy_cover,3705,-19.057535020630894
buy,3707,
sell,3723,-7.947314573562835
sell_short,3729,
buy_cover,3734,-26.86300877274516
sell_short,3735,
buy_cover,3736,-8.978415009283708
buy,3737,
sell,3749,90.87561220554744
buy,3763,
sell,3787,73.45430099463556
buy,3794,
sell,3818,38.943116354885206
buy,3820,
sell,3838,-50.08303790944592
sell_short,3841,
buy_cover,3845,-28.912110156390554
buy,3848,
sell,3852,-15.409293420030735
sell_short,3875,
buy_cover,3899,83.61938066339644
sell_short,3913,
buy_cover,3937,42.32952390551509
sell_short,3938,
buy_cover,3959,-32.40519042060987
buy,3980,
sell,4004,116.14653474538136
buy,4013,
sell,4037,3.9150420819223655
buy,4038,
sell,4044,-40.751051366560205
sell_short,4055,
buy_cover,4058,-131.10036677367316
buy,4065,
sell,4086,-37.49219322640056
sell_short,4102,
buy_cover,4106,-59.42542246955054
buy,4114,
sell,4129,-43.047138310987066
sell_short,4132,
buy_cover,4135,-16.968088512867325
buy,4136,
sell,4143,-27.460954720405425
buy,4157,
sell,4175,197.47550735193727
buy,4178,
sell,4190,-30.654642568551935
buy,4191,
sell,4213,0.4290261223450216
buy,4214,
sell,4224,-25.365802027708924
buy,4226,
sell,4231,-31.667926686104693
buy,4232,
sell,4234,-21.961603265754093
sell_short,4235,
buy_cover,4259,54.21834148479866
sell_short,4260,
buy_cover,4275,-50.01830045537463
buy,4293,
sell,4317,126.03837743731492
buy,4335,
sell,4338,-110.19524902662124
buy,4341,
sell,4349,-129.15209108721865
sell_short,4360,
buy_cover,4384,143.3359681259917
sell_short,4395,
buy_cover,4403,-47.29895780098923
sell_short,4404,
buy_cover,4428,122.88451230249666
sell_short,4438,
buy_cover,4462,7.129587000408719
sell_short,4463,
buy_cover,4469,-14.175328182669546
sell_short,4470,
buy_cover,4484,-30.423302764880646
buy,4499,
sell,4505,-60.20720259540758
sell_short,4518,
buy_cover,4533,58.002446998543746
