datetime,close,signal,position,equity
2026-04-14 15:05:00,74694.58,1,0,10000.0
2026-04-14 15:10:00,74756.43,1,0,10000.0
2026-04-14 15:15:00,74801.45,1,0,10000.0
2026-04-14 15:20:00,74909.0,1,0,10000.0
2026-04-14 15:25:00,74811.86,1,0,10000.0
2026-04-14 15:30:00,75090.5,1,0,10000.0
2026-04-14 15:35:00,75161.85,1,0,10000.0
2026-04-14 15:40:00,75284.0,1,0,10000.0
2026-04-14 15:45:00,75246.0,1,0,10000.0
2026-04-14 15:50:00,75433.2,1,0,10000.0
2026-04-14 15:55:00,75317.07,1,0,10000.0
2026-04-14 16:00:00,75469.03,1,0,10000.0
2026-04-14 16:05:00,75653.19,1,0,10000.0
2026-04-14 16:10:00,75489.99,1,0,10000.0
2026-04-14 16:15:00,75320.93,1,0,10000.0
2026-04-14 16:20:00,75214.0,1,0,10000.0
2026-04-14 16:25:00,75253.23,1,0,10000.0
2026-04-14 16:30:00,75174.07,1,0,10000.0
2026-04-14 16:35:00,75236.54,1,0,10000.0
2026-04-14 16:40:00,75208.5,1,0,10000.0
2026-04-14 16:45:00,75102.24,1,0,10000.0
2026-04-14 16:50:00,74783.4,1,0,10000.0
2026-04-14 16:55:00,74652.2,1,0,10000.0
2026-04-14 17:00:00,74666.26,1,0,10000.0
2026-04-14 17:05:00,74739.88,1,0,10000.0
2026-04-14 17:10:00,74793.84,1,0,10000.0
2026-04-14 17:15:00,74866.13,1,0,10000.0
2026-04-14 17:20:00,74850.01,1,0,10000.0
2026-04-14 17:25:00,74632.23,1,0,10000.0
2026-04-14 17:30:00,74354.87,1,0,10000.0
2026-04-14 17:35:00,74381.78,1,0,10000.0
2026-04-14 17:40:00,74550.05,1,0,10000.0
2026-04-14 17:45:00,74665.68,1,0,10000.0
2026-04-14 17:50:00,74674.98,1,0,10000.0
2026-04-14 17:55:00,74748.9,1,0,10000.0
2026-04-14 18:00:00,74768.28,1,0,10000.0
2026-04-14 18:05:00,74783.82,1,0,10000.0
2026-04-14 18:10:00,74676.0,1,0,10000.0
2026-04-14 18:15:00,74723.98,1,0,10000.0
2026-04-14 18:20:00,74491.47,1,0,10000.0
2026-04-14 18:25:00,74524.36,1,0,10000.0
2026-04-14 18:30:00,74419.41,1,0,10000.0
2026-04-14 18:35:00,74187.53,1,0,10000.0
2026-04-14 18:40:00,74298.3,1,0,10000.0
2026-04-14 18:45:00,73857.55,1,0,10000.0
2026-04-14 18:50:00,74091.4,1,0,10000.0
2026-04-14 18:55:00,74093.19,1,0,10000.0
2026-04-14 19:00:00,74199.81,1,0,10000.0
2026-04-14 19:05:00,74338.36,1,0,10000.0
2026-04-14 19:10:00,74262.61,1,0,10000.0
2026-04-14 19:15:00,74326.5,1,0,10000.0
2026-04-14 19:20:00,74017.77,1,0,10000.0
2026-04-14 19:25:00,74160.34,1,0,10000.0
2026-04-14 19:30:00,74106.79,1,0,10000.0
2026-04-14 19:35:00,74166.62,1,0,10000.0
2026-04-14 19:40:00,74119.19,1,0,10000.0
2026-04-14 19:45:00,74158.01,1,0,10000.0
2026-04-14 19:50:00,74238.0,1,0,10000.0
2026-04-14 19:55:00,74223.18,1,0,10000.0
2026-04-14 20:00:00,74294.25,1,0,10000.0
2026-04-14 20:05:00,74368.68,1,0,10000.0
2026-04-14 20:10:00,74413.65,1,0,10000.0
2026-04-14 20:15:00,74306.57,1,0,10000.0
2026-04-14 20:20:00,74200.0,1,0,10000.0
2026-04-14 20:25:00,74187.72,1,0,10000.0
2026-04-14 20:30:00,74198.01,1,0,10000.0
2026-04-14 20:35:00,74167.58,1,0,10000.0
2026-04-14 20:40:00,74250.0,1,0,10000.0
2026-04-14 20:45:00,74226.43,1,0,10000.0
2026-04-14 20:50:00,74143.49,1,0,10000.0
2026-04-14 20:55:00,74102.29,1,0,10000.0
2026-04-14 21:00:00,74292.69,1,0,10000.0
2026-04-14 21:05:00,74230.69,1,0,10000.0
2026-04-14 21:10:00,74206.8,1,0,10000.0
2026-04-14 21:15:00,74164.2,1,0,10000.0
2026-04-14 21:20:00,74055.0,1,0,10000.0
2026-04-14 21:25:00,74125.99,1,0,10000.0
2026-04-14 21:30:00,74051.01,1,0,10000.0
2026-04-14 21:35:00,74041.46,1,0,10000.0
2026-04-14 21:40:00,74016.8,1,0,10000.0
2026-04-14 21:45:00,74007.24,1,0,10000.0
