side,entry_step,exit_step,entry_price,exit_price,pnl,hold_bars
short,7122,7127,2104.28,2109.51,-24.310997764199783,5
long,7148,7149,2103.07,2090.75,-55.86290683962761,1
short,7188,7193,2090.28,2090.24,-3.176907100760218,5
short,7194,7198,2093.25,2094.58,-8.633102228304779,4
short,7290,7302,2066.48,2064.89,3.077859648044978,12
short,7313,7314,2075.3,2076.1,-6.542268213624993,1
long,7392,7393,2073.38,2073.84,-4.80850465812,1
short,7398,7406,2076.95,2077.62,-6.008906890852813,8
long,7449,7451,2092.94,2093.97,-2.558165422129605,2
long,7524,7530,2110.46,2108.41,-14.69988513165481,6
short,7672,7674,2096.52,2098.18,-9.881611364449782,2
long,7675,7677,2116.95,2109.68,-35.02297727269979,2
long,7707,7714,2123.61,2126.0,2.677303173830296,7
long,7789,7793,2207.06,2238.4,110.39138958596413,4
long,7831,7835,2262.3,2266.01,7.009315451065049,4
short,7999,8001,2342.83,2355.01,-46.83774872051799,2
short,8111,8113,2315.41,2320.07,-20.06525697034158,2
short,8116,8119,2321.59,2312.91,27.698245806850537,3
long,8144,8146,2320.66,2311.19,-40.569709320212496,2
short,8200,8204,2343.33,2328.65,48.565614251056104,4
short,8342,8344,2330.16,2330.13,-3.222950423387374,2
short,8428,8432,2322.2,2322.59,-4.726018995967024,4
short,8532,8533,2185.8,2195.05,-38.520512119961495,1
short,8566,8567,2165.24,2171.7,-28.002366238340983,1
short,8580,8583,2193.74,2193.17,-1.1549585364573431,3
long,8625,8627,2191.56,2191.12,-8.243386896045195,2
long,8652,8655,2224.17,2220.2,-21.266235107772445,3
short,8820,8821,2118.25,2125.23,-30.35280857219186,1
long,8877,8884,2146.58,2137.68,-40.4258048536185,7
short,8985,8988,2127.46,2132.11,-21.051820663218678,3
short,9058,9062,2142.51,2146.8,-19.50423362676429,4
long,9156,9161,2148.03,2144.67,-19.125840353450258,5
short,9199,9202,2152.93,2155.28,-12.049203067162125,3
long,9243,9246,2151.55,2152.2,-4.013768699328466,3
short,9304,9306,2158.27,2158.69,-4.792315136924117,2
long,9349,9350,2156.35,2156.04,-7.595727316253033,1
short,9359,9360,2165.01,2164.45,-1.1364520610932232,1
long,9366,9367,2156.78,2154.5,-14.924856586000715,1
short,9474,9476,2122.93,2084.87,140.7454270769449,2
long,9506,9518,2106.0,2114.14,25.00580725274176,12
long,9547,9549,2114.19,2111.57,-16.69224125123037,2
short,9568,9570,2099.49,2103.57,-19.160847542006195,2
short,9633,9634,2088.33,2087.39,0.4097796901660331,1
short,9699,9700,2069.34,2064.99,13.88202980677579,1
short,9750,9752,2060.65,2062.67,-11.27228197446675,2
long,9770,9771,2053.98,2046.29,-37.0121556821523,1
long,9898,9901,2158.76,2156.56,-14.7517402064841,3
long,9948,9951,2171.47,2159.11,-52.54264992975459,3
short,10024,10030,2161.83,2150.07,40.572423002236064,6
short,10094,10101,2139.16,2143.88,-21.08314188685472,7
long,10113,10116,2130.71,2133.36,3.572014564472738,3
long,10162,10164,2154.36,2152.06,-15.056374619463895,2
long,10297,10298,2145.24,2141.78,-19.415125103604623,1
long,10402,10404,2174.9,2170.86,-21.332108744212746,2
long,10424,10426,2163.81,2167.11,5.801125447749655,2
short,10427,10432,2172.17,2173.87,-9.483680840458874,5
long,10482,10488,2183.2,2177.73,-26.444468192831664,6
short,10571,10573,2169.28,2171.54,-11.508269904654298,2
short,10605,10611,2166.84,2174.86,-32.68315281465584,6
long,10632,10633,2165.0,2166.72,-0.04678313771273679,1
short,10735,10744,2119.18,2080.24,142.63250892761152,9
short,10780,10786,2072.0,2077.87,-26.10910659392721,6
long,10871,10879,2072.01,2063.75,-38.479858354527096,8
