type,step,pnl
sell_short,200,
buy_cover,211,-11.308197000851578
sell_short,212,
buy_cover,230,132.90455224023572
sell_short,271,
buy_cover,289,28.5261937314026
sell_short,292,
buy_cover,303,-25.560941170268052
sell_short,304,
buy_cover,308,-6.960806218767175
sell_short,309,
buy_cover,310,8.915860448696549
sell_short,311,
buy_cover,312,-2.6341329371316533
sell_short,313,
buy_cover,314,0.7883257473495178
sell_short,315,
buy_cover,316,-2.801964557964311
sell_short,317,
buy_cover,318,-10.631758428578905
sell_short,319,
buy_cover,320,-24.277590673986197
sell_short,321,
buy_cover,322,6.995411198045986
sell_short,323,
buy_cover,324,-0.7964604101325676
sell_short,325,
buy_cover,326,-2.3244322914506483
sell_short,327,
buy_cover,328,7.04332848161539
sell_short,330,
buy_cover,331,-3.174237242748859
sell_short,334,
buy_cover,335,1.7729077318581403
sell_short,336,
buy_cover,337,-14.04099914111066
sell_short,338,
buy_cover,339,-0.871364851058388
sell_short,340,
buy_cover,341,-6.10023001420268
sell_short,342,
buy_cover,343,-4.60963885378078
sell_short,344,
buy_cover,345,6.259998652294598
sell_short,355,
buy_cover,373,18.669299027253146
sell_short,374,
buy_cover,380,-25.585533174275042
sell_short,381,
buy_cover,397,-18.541365098662936
sell_short,398,
buy_cover,400,-18.323739645562455
sell_short,401,
buy_cover,402,-0.05379563604401483
sell_short,403,
buy_cover,404,0.41073425881586445
sell_short,405,
buy_cover,406,-1.321546053781276
sell_short,407,
buy_cover,408,-2.718943839878193
sell_short,409,
buy_cover,410,3.4704228874434193
sell_short,411,
buy_cover,412,-4.751774471167664
sell_short,415,
buy_cover,416,-14.451176790129466
sell_short,417,
buy_cover,435,26.146118923026734
sell_short,436,
buy_cover,454,30.310830624939626
sell_short,455,
buy_cover,473,25.7565749274072
sell_short,479,
buy_cover,497,29.891014677899875
sell_short,509,
buy_cover,527,14.158740593269613
sell_short,528,
buy_cover,544,-11.853415603183748
sell_short,545,
buy_cover,550,-29.515465149968804
sell_short,551,
buy_cover,552,-7.9306765016026475
sell_short,553,
buy_cover,554,4.339472159530487
sell_short,555,
buy_cover,556,-7.489646944397464
sell_short,557,
buy_cover,558,-2.0255080868410005
sell_short,559,
buy_cover,560,-7.4732657696113165
sell_short,561,
buy_cover,562,0.028993802863624296
sell_short,563,
buy_cover,564,0.6355924869458249
sell_short,565,
buy_cover,566,8.95576586599418
sell_short,567,
buy_cover,568,-4.899334089230251
sell_short,569,
buy_cover,570,-10.596880019493256
buy,581,
sell,599,-18.074061181025172
sell_short,600,
buy_cover,601,37.12653490606135
sell_short,606,
buy_cover,624,74.54928017424936
sell_short,643,
buy_cover,661,1.9319424740879185
sell_short,672,
buy_cover,689,52.0614785814214
sell_short,698,
buy_cover,708,-45.62866427870904
sell_short,709,
buy_cover,716,-21.083562511172204
sell_short,717,
buy_cover,718,11.237875873835947
sell_short,719,
buy_cover,720,-15.185798957842053
sell_short,721,
buy_cover,722,14.712515961793542
sell_short,723,
buy_cover,724,-3.229283232436501
sell_short,725,
buy_cover,726,15.496733890924588
sell_short,727,
buy_cover,728,-2.7888384912330366
sell_short,735,
buy_cover,736,-14.829075319856202
sell_short,737,
buy_cover,738,6.464002394995987
sell_short,740,
buy_cover,741,-22.747706646250663
sell_short,742,
buy_cover,743,-12.661597661421183
sell_short,744,
buy_cover,745,-8.911511927304673
sell_short,746,
buy_cover,747,-4.826966789833023
sell_short,748,
buy_cover,749,-29.15249673793369
sell_short,750,
buy_cover,751,7.641546067359741
sell_short,752,
buy_cover,753,-1.714762148236332
sell_short,754,
buy_cover,755,-6.642465830158471
sell_short,756,
buy_cover,757,0.25087761307440815
sell_short,758,
buy_cover,759,-3.0168761277836893
sell_short,760,
buy_cover,761,-4.366117331741407
sell_short,762,
buy_cover,763,12.688360532627485
sell_short,773,
buy_cover,781,-38.20966959308316
sell_short,782,
buy_cover,786,-35.159801293300916
sell_short,787,
buy_cover,788,-3.470398952427786
sell_short,789,
buy_cover,790,-22.136443942659753
buy,799,
sell,817,45.44840756747908
buy,829,
sell,834,-32.17827823213338
buy,835,
sell,853,44.15141907313409
buy,854,
sell,872,-43.054311968076945
buy,874,
sell,875,35.19210637849392
buy,876,
sell,878,-26.490226073901795
buy,879,
sell,880,7.771135967268492
buy,892,
sell,893,4.502393030037638
buy,895,
sell,896,-6.22552433652163
buy,897,
sell,898,-21.334532755978216
