step,timestamp,equity
0,1776432300000,10000.0
1,1776432600000,10000.0
2,1776432900000,10000.0
3,1776433200000,10000.0
4,1776433500000,10000.0
5,1776433800000,10000.0
6,1776434100000,10000.0
7,1776434400000,10000.0
8,1776434700000,10000.0
9,1776435000000,10000.0
10,1776435300000,10000.0
11,1776435600000,10000.0
12,1776435900000,10000.0
13,1776436200000,10000.0
14,1776436500000,10000.0
15,1776436800000,10000.0
16,1776437100000,10000.0
17,1776437400000,10000.0
18,1776437700000,10000.0
19,1776438000000,10000.0
20,1776438300000,10000.0
21,1776438600000,10000.0
22,1776438900000,10000.0
23,1776439200000,10000.0
24,1776439500000,10000.0
25,1776439800000,10000.0
26,1776440100000,10000.0
27,1776440400000,10000.0
28,1776440700000,10000.0
29,1776441000000,10000.0
30,1776441300000,10000.0
31,1776441600000,10000.0
32,1776441900000,10000.0
33,1776442200000,10000.0
34,1776442500000,10000.0
35,1776442800000,10000.0
36,1776443100000,10000.0
37,1776443400000,10000.0
38,1776443700000,10000.0
39,1776444000000,10000.0
40,1776444300000,10000.0
41,1776444600000,10000.0
42,1776444900000,10000.0
43,1776445200000,10000.0
44,1776445500000,10000.0
45,1776445800000,10000.0
46,1776446100000,10000.0
47,1776446400000,10000.0
48,1776446700000,10000.0
49,1776447000000,10000.0
50,1776447300000,10000.0
51,1776447600000,10000.0
52,1776447900000,10000.0
53,1776448200000,10000.0
54,1776448500000,10000.0
55,1776448800000,10000.0
56,1776449100000,10000.0
57,1776449400000,10000.0
58,1776449700000,10000.0
59,1776450000000,10000.0
60,1776450300000,10000.0
61,1776450600000,10000.0
62,1776450900000,10000.0
63,1776451200000,10000.0
64,1776451500000,10000.0
65,1776451800000,10000.0
66,1776452100000,10000.0
67,1776452400000,10000.0
68,1776452700000,10000.0
69,1776453000000,10000.0
70,1776453300000,10000.0
71,1776453600000,10000.0
72,1776453900000,10000.0
73,1776454200000,10000.0
74,1776454500000,10000.0
75,1776454800000,10000.0
76,1776455100000,10000.0
77,1776455400000,10000.0
78,1776455700000,10000.0
79,1776456000000,10000.0
80,1776456300000,10000.0
81,1776456600000,10000.0
82,1776456900000,10000.0
83,1776457200000,10000.0
84,1776457500000,10000.0
85,1776457800000,10000.0
86,1776458100000,10000.0
87,1776458400000,10000.0
88,1776458700000,10000.0
89,1776459000000,10000.0
90,1776459300000,10000.0
91,1776459600000,10000.0
92,1776459900000,10000.0
93,1776460200000,10000.0
94,1776460500000,10000.0
95,1776460800000,10000.0
96,1776461100000,10000.0
97,1776461400000,10000.0
98,1776461700000,10000.0
99,1776462000000,10000.0
100,1776462300000,10000.0
101,1776462600000,10000.0
102,1776462900000,10000.0
103,1776463200000,10000.0
104,1776463500000,10000.0
105,1776463800000,10000.0
106,1776464100000,10000.0
107,1776464400000,10000.0
108,1776464700000,10000.0
109,1776465000000,10000.0
110,1776465300000,9996.0
111,1776465600000,10002.080574572741
112,1776465900000,10002.080574572741
113,1776466200000,10002.080574572741
114,1776466500000,10002.080574572741
115,1776466800000,10002.080574572741
116,1776467100000,10002.080574572741
117,1776467400000,10002.080574572741
118,1776467700000,10002.080574572741
119,1776468000000,9998.080542349358
120,1776468300000,10000.234887532413
121,1776468600000,10000.234887532413
122,1776468900000,10000.234887532413
123,1776469200000,10000.234887532413
124,1776469500000,10000.234887532413
125,1776469800000,10000.234887532413
126,1776470100000,10000.234887532413
127,1776470400000,10000.234887532413
128,1776470700000,10000.234887532413
129,1776471000000,10000.234887532413
130,1776471300000,10000.234887532413
131,1776471600000,10000.234887532413
132,1776471900000,10000.234887532413
133,1776472200000,10000.234887532413
134,1776472500000,10000.234887532413
135,1776472800000,10000.234887532413
136,1776473100000,10000.234887532413
137,1776473400000,10000.234887532413
138,1776473700000,10000.234887532413
139,1776474000000,10000.234887532413
140,1776474300000,10000.234887532413
141,1776474600000,10000.234887532413
142,1776474900000,10000.234887532413
143,1776475200000,10000.234887532413
144,1776475500000,10000.234887532413
145,1776475800000,10000.234887532413
146,1776476100000,10000.234887532413
147,1776476400000,10000.234887532413
148,1776476700000,10000.234887532413
149,1776477000000,10000.234887532413
150,1776477300000,10000.234887532413
151,1776477600000,10000.234887532413
152,1776477900000,10000.234887532413
153,1776478200000,10000.234887532413
154,1776478500000,10000.234887532413
155,1776478800000,10000.234887532413
156,1776479100000,10000.234887532413
157,1776479400000,10000.234887532413
158,1776479700000,10000.234887532413
159,1776480000000,10000.234887532413
160,1776480300000,10000.234887532413
161,1776480600000,10000.234887532413
162,1776480900000,10000.234887532413
163,1776481200000,10000.234887532413
164,1776481500000,10000.234887532413
165,1776481800000,10000.234887532413
166,1776482100000,10000.234887532413
167,1776482400000,10000.234887532413
168,1776482700000,10000.234887532413
169,1776483000000,10000.234887532413
170,1776483300000,10000.234887532413
171,1776483600000,10000.234887532413
172,1776483900000,10000.234887532413
173,1776484200000,10000.234887532413
174,1776484500000,10000.234887532413
175,1776484800000,10000.234887532413
176,1776485100000,10000.234887532413
177,1776485400000,10000.234887532413
178,1776485700000,10000.234887532413
179,1776486000000,10000.234887532413
180,1776486300000,10000.234887532413
181,1776486600000,10000.234887532413
182,1776486900000,10000.234887532413
183,1776487200000,10000.234887532413
184,1776487500000,10000.234887532413
185,1776487800000,10000.234887532413
186,1776488100000,10000.234887532413
187,1776488400000,10000.234887532413
188,1776488700000,10000.234887532413
189,1776489000000,10000.234887532413
190,1776489300000,10000.234887532413
191,1776489600000,10000.234887532413
192,1776489900000,10000.234887532413
193,1776490200000,10000.234887532413
194,1776490500000,10000.234887532413
195,1776490800000,10000.234887532413
196,1776491100000,10000.234887532413
197,1776491400000,10000.234887532413
198,1776491700000,10000.234887532413
199,1776492000000,10000.234887532413
200,1776492300000,10000.234887532413
201,1776492600000,10000.234887532413
202,1776492900000,10000.234887532413
203,1776493200000,10000.234887532413
204,1776493500000,10000.234887532413
205,1776493800000,10000.234887532413
206,1776494100000,10000.234887532413
207,1776494400000,10000.234887532413
208,1776494700000,10000.234887532413
209,1776495000000,10000.234887532413
210,1776495300000,10000.234887532413
211,1776495600000,10000.234887532413
212,1776495900000,10000.234887532413
213,1776496200000,10000.234887532413
214,1776496500000,10000.234887532413
215,1776496800000,10000.234887532413
216,1776497100000,10000.234887532413
217,1776497400000,10000.234887532413
218,1776497700000,10000.234887532413
219,1776498000000,10000.234887532413
220,1776498300000,10000.234887532413
221,1776498600000,10000.234887532413
222,1776498900000,10000.234887532413
223,1776499200000,10000.234887532413
224,1776499500000,10000.234887532413
225,1776499800000,10000.234887532413
226,1776500100000,10000.234887532413
227,1776500400000,10000.234887532413
228,1776500700000,10000.234887532413
229,1776501000000,10000.234887532413
230,1776501300000,10000.234887532413
231,1776501600000,10000.234887532413
232,1776501900000,10000.234887532413
233,1776502200000,10000.234887532413
234,1776502500000,10000.234887532413
235,1776502800000,10000.234887532413
236,1776503100000,10000.234887532413
237,1776503400000,10000.234887532413
238,1776503700000,10000.234887532413
239,1776504000000,10000.234887532413
240,1776504300000,10000.234887532413
241,1776504600000,10000.234887532413
242,1776504900000,10000.234887532413
243,1776505200000,10000.234887532413
244,1776505500000,10000.234887532413
245,1776505800000,10000.234887532413
246,1776506100000,10000.234887532413
247,1776506400000,10000.234887532413
248,1776506700000,10000.234887532413
249,1776507000000,10000.234887532413
250,1776507300000,10000.234887532413
251,1776507600000,10000.234887532413
252,1776507900000,10000.234887532413
253,1776508200000,10000.234887532413
254,1776508500000,10000.234887532413
255,1776508800000,10000.234887532413
256,1776509100000,10000.234887532413
257,1776509400000,10000.234887532413
258,1776509700000,10000.234887532413
259,1776510000000,10000.234887532413
260,1776510300000,10000.234887532413
261,1776510600000,10000.234887532413
262,1776510900000,10000.234887532413
263,1776511200000,10000.234887532413
264,1776511500000,10000.234887532413
265,1776511800000,10000.234887532413
266,1776512100000,10000.234887532413
267,1776512400000,10000.234887532413
268,1776512700000,10000.234887532413
269,1776513000000,10000.234887532413
270,1776513300000,10000.234887532413
271,1776513600000,10000.234887532413
272,1776513900000,10000.234887532413
273,1776514200000,10000.234887532413
274,1776514500000,10000.234887532413
275,1776514800000,10000.234887532413
276,1776515100000,10000.234887532413
277,1776515400000,10000.234887532413
278,1776515700000,10000.234887532413
279,1776516000000,10000.234887532413
280,1776516300000,10000.234887532413
281,1776516600000,10000.234887532413
282,1776516900000,10000.234887532413
283,1776517200000,10000.234887532413
284,1776517500000,10000.234887532413
285,1776517800000,10000.234887532413
286,1776518100000,10000.234887532413
287,1776518400000,10000.234887532413
288,1776518700000,10000.234887532413
289,1776519000000,10000.234887532413
290,1776519300000,10000.234887532413
291,1776519600000,10000.234887532413
292,1776519900000,10000.234887532413
293,1776520200000,10000.234887532413
294,1776520500000,10000.234887532413
295,1776520800000,10000.234887532413
296,1776521100000,10000.234887532413
297,1776521400000,10000.234887532413
298,1776521700000,10000.234887532413
299,1776522000000,10000.234887532413
300,1776522300000,10000.234887532413
301,1776522600000,10000.234887532413
302,1776522900000,10000.234887532413
303,1776523200000,10000.234887532413
304,1776523500000,10000.234887532413
305,1776523800000,10000.234887532413
306,1776524100000,10000.234887532413
307,1776524400000,9996.234793577401
308,1776524700000,10002.653959963634
309,1776525000000,10002.653959963634
310,1776525300000,10002.653959963634
311,1776525600000,10002.653959963634
312,1776525900000,10002.653959963634
313,1776526200000,10002.653959963634
314,1776526500000,10002.653959963634
315,1776526800000,10002.653959963634
316,1776527100000,10002.653959963634
317,1776527400000,10002.653959963634
318,1776527700000,10002.653959963634
319,1776528000000,10002.653959963634
320,1776528300000,10002.653959963634
321,1776528600000,10002.653959963634
322,1776528900000,10002.653959963634
323,1776529200000,10002.653959963634
324,1776529500000,10002.653959963634
325,1776529800000,10002.653959963634
326,1776530100000,10002.653959963634
327,1776530400000,10002.653959963634
328,1776530700000,10002.653959963634
329,1776531000000,10002.653959963634
330,1776531300000,10002.653959963634
331,1776531600000,10002.653959963634
332,1776531900000,10002.653959963634
333,1776532200000,10002.653959963634
334,1776532500000,10002.653959963634
335,1776532800000,10002.653959963634
336,1776533100000,10002.653959963634
337,1776533400000,10002.653959963634
338,1776533700000,10002.653959963634
339,1776534000000,10002.653959963634
340,1776534300000,10002.653959963634
341,1776534600000,10002.653959963634
342,1776534900000,10002.653959963634
343,1776535200000,10002.653959963634
344,1776535500000,10002.653959963634
345,1776535800000,10002.653959963634
346,1776536100000,10002.653959963634
347,1776536400000,10002.653959963634
348,1776536700000,10002.653959963634
349,1776537000000,10002.653959963634
350,1776537300000,10002.653959963634
351,1776537600000,10002.653959963634
352,1776537900000,10002.653959963634
353,1776538200000,10002.653959963634
354,1776538500000,10002.653959963634
355,1776538800000,10002.653959963634
356,1776539100000,10002.653959963634
357,1776539400000,10002.653959963634
358,1776539700000,10002.653959963634
359,1776540000000,10002.653959963634
360,1776540300000,10002.653959963634
361,1776540600000,10002.653959963634
362,1776540900000,10002.653959963634
363,1776541200000,10002.653959963634
364,1776541500000,10002.653959963634
365,1776541800000,10002.653959963634
366,1776542100000,10002.653959963634
367,1776542400000,10002.653959963634
368,1776542700000,10002.653959963634
369,1776543000000,10002.653959963634
370,1776543300000,10002.653959963634
371,1776543600000,10002.653959963634
372,1776543900000,10002.653959963634
373,1776544200000,10002.653959963634
374,1776544500000,10002.653959963634
375,1776544800000,10002.653959963634
376,1776545100000,10002.653959963634
377,1776545400000,10002.653959963634
378,1776545700000,10002.653959963634
379,1776546000000,10002.653959963634
380,1776546300000,10002.653959963634
381,1776546600000,10002.653959963634
382,1776546900000,10002.653959963634
383,1776547200000,10002.653959963634
384,1776547500000,10002.653959963634
385,1776547800000,10002.653959963634
386,1776548100000,10002.653959963634
387,1776548400000,10002.653959963634
388,1776548700000,10002.653959963634
389,1776549000000,10002.653959963634
390,1776549300000,10002.653959963634
391,1776549600000,10002.653959963634
392,1776549900000,10002.653959963634
393,1776550200000,10002.653959963634
394,1776550500000,10002.653959963634
395,1776550800000,10002.653959963634
396,1776551100000,10002.653959963634
397,1776551400000,10002.653959963634
398,1776551700000,10002.653959963634
399,1776552000000,10002.653959963634
400,1776552300000,10002.653959963634
401,1776552600000,10002.653959963634
402,1776552900000,10002.653959963634
403,1776553200000,10002.653959963634
404,1776553500000,10002.653959963634
405,1776553800000,10002.653959963634
406,1776554100000,10002.653959963634
407,1776554400000,10002.653959963634
408,1776554700000,10002.653959963634
409,1776555000000,10002.653959963634
410,1776555300000,10002.653959963634
411,1776555600000,10002.653959963634
412,1776555900000,10002.653959963634
413,1776556200000,10002.653959963634
414,1776556500000,10002.653959963634
415,1776556800000,10002.653959963634
416,1776557100000,10002.653959963634
417,1776557400000,10002.653959963634
418,1776557700000,10002.653959963634
419,1776558000000,10002.653959963634
420,1776558300000,10002.653959963634
421,1776558600000,10002.653959963634
422,1776558900000,10002.653959963634
423,1776559200000,10002.653959963634
424,1776559500000,10002.653959963634
425,1776559800000,10002.653959963634
426,1776560100000,10002.653959963634
427,1776560400000,10002.653959963634
428,1776560700000,10002.653959963634
429,1776561000000,10002.653959963634
430,1776561300000,10002.653959963634
431,1776561600000,10002.653959963634
432,1776561900000,10002.653959963634
433,1776562200000,10002.653959963634
434,1776562500000,10002.653959963634
435,1776562800000,9998.653698431955
436,1776563100000,10003.989141715525
437,1776563400000,10003.989141715525
438,1776563700000,10003.989141715525
439,1776564000000,10003.989141715525
440,1776564300000,10003.989141715525
441,1776564600000,10003.989141715525
442,1776564900000,10003.989141715525
443,1776565200000,10003.989141715525
444,1776565500000,10003.989141715525
445,1776565800000,10003.989141715525
446,1776566100000,9999.988346217939
447,1776566400000,10017.82291668732
448,1776566700000,10017.82291668732
449,1776567000000,10017.82291668732
450,1776567300000,10017.82291668732
451,1776567600000,10017.82291668732
452,1776567900000,10017.82291668732
453,1776568200000,10017.82291668732
454,1776568500000,10017.82291668732
455,1776568800000,10017.82291668732
456,1776569100000,10017.82291668732
457,1776569400000,10017.82291668732
458,1776569700000,10017.82291668732
459,1776570000000,10017.82291668732
460,1776570300000,10017.82291668732
461,1776570600000,10017.82291668732
462,1776570900000,10017.82291668732
463,1776571200000,10017.82291668732
464,1776571500000,10017.82291668732
465,1776571800000,10017.82291668732
466,1776572100000,10017.82291668732
467,1776572400000,10017.82291668732
468,1776572700000,10017.82291668732
469,1776573000000,10017.82291668732
470,1776573300000,10017.82291668732
471,1776573600000,10017.82291668732
472,1776573900000,10017.82291668732
473,1776574200000,10017.82291668732
474,1776574500000,10017.82291668732
475,1776574800000,10017.82291668732
476,1776575100000,10017.82291668732
477,1776575400000,10017.82291668732
478,1776575700000,10017.82291668732
479,1776576000000,10017.82291668732
480,1776576300000,10017.82291668732
481,1776576600000,10017.82291668732
482,1776576900000,10017.82291668732
483,1776577200000,10017.82291668732
484,1776577500000,10017.82291668732
485,1776577800000,10017.82291668732
486,1776578100000,10017.82291668732
487,1776578400000,10017.82291668732
488,1776578700000,10017.82291668732
489,1776579000000,10017.82291668732
490,1776579300000,10017.82291668732
491,1776579600000,10017.82291668732
492,1776579900000,10017.82291668732
493,1776580200000,10017.82291668732
494,1776580500000,10017.82291668732
495,1776580800000,10017.82291668732
496,1776581100000,10017.82291668732
497,1776581400000,10017.82291668732
498,1776581700000,10017.82291668732
499,1776582000000,10017.82291668732
500,1776582300000,10017.82291668732
501,1776582600000,10017.82291668732
502,1776582900000,10017.82291668732
503,1776583200000,10017.82291668732
504,1776583500000,10017.82291668732
505,1776583800000,10017.82291668732
506,1776584100000,10017.82291668732
507,1776584400000,10017.82291668732
508,1776584700000,10017.82291668732
509,1776585000000,10017.82291668732
510,1776585300000,10017.82291668732
511,1776585600000,10017.82291668732
512,1776585900000,10017.82291668732
513,1776586200000,10017.82291668732
514,1776586500000,10017.82291668732
515,1776586800000,10017.82291668732
516,1776587100000,10017.82291668732
517,1776587400000,10017.82291668732
518,1776587700000,10017.82291668732
519,1776588000000,10017.82291668732
520,1776588300000,10017.82291668732
521,1776588600000,10017.82291668732
522,1776588900000,10017.82291668732
523,1776589200000,10017.82291668732
524,1776589500000,10017.82291668732
525,1776589800000,10017.82291668732
526,1776590100000,10017.82291668732
527,1776590400000,10017.82291668732
528,1776590700000,10017.82291668732
529,1776591000000,10017.82291668732
530,1776591300000,10017.82291668732
531,1776591600000,10017.82291668732
532,1776591900000,10017.82291668732
533,1776592200000,10017.82291668732
534,1776592500000,10017.82291668732
535,1776592800000,10017.82291668732
536,1776593100000,10017.82291668732
537,1776593400000,10017.82291668732
538,1776593700000,10017.82291668732
539,1776594000000,10017.82291668732
540,1776594300000,10017.82291668732
541,1776594600000,10017.82291668732
542,1776594900000,10017.82291668732
543,1776595200000,10017.82291668732
544,1776595500000,10017.82291668732
545,1776595800000,10017.82291668732
546,1776596100000,10017.82291668732
547,1776596400000,10017.82291668732
548,1776596700000,10017.82291668732
549,1776597000000,10017.82291668732
550,1776597300000,10017.82291668732
551,1776597600000,10017.82291668732
552,1776597900000,10017.82291668732
553,1776598200000,10017.82291668732
554,1776598500000,10017.82291668732
555,1776598800000,10017.82291668732
556,1776599100000,10017.82291668732
557,1776599400000,10017.82291668732
558,1776599700000,10017.82291668732
559,1776600000000,10017.82291668732
560,1776600300000,10017.82291668732
561,1776600600000,10017.82291668732
562,1776600900000,10017.82291668732
563,1776601200000,10017.82291668732
564,1776601500000,10017.82291668732
565,1776601800000,10017.82291668732
566,1776602100000,10017.82291668732
567,1776602400000,10017.82291668732
568,1776602700000,10017.82291668732
569,1776603000000,10017.82291668732
570,1776603300000,10017.82291668732
571,1776603600000,10017.82291668732
572,1776603900000,10017.82291668732
573,1776604200000,10017.82291668732
574,1776604500000,10017.82291668732
575,1776604800000,10017.82291668732
576,1776605100000,10017.82291668732
577,1776605400000,10017.82291668732
578,1776605700000,10017.82291668732
579,1776606000000,10017.82291668732
580,1776606300000,10017.82291668732
581,1776606600000,10017.82291668732
582,1776606900000,10017.82291668732
583,1776607200000,10017.82291668732
584,1776607500000,10017.82291668732
585,1776607800000,10017.82291668732
586,1776608100000,10017.82291668732
587,1776608400000,10017.82291668732
588,1776608700000,10017.82291668732
589,1776609000000,10017.82291668732
590,1776609300000,10017.82291668732
591,1776609600000,10017.82291668732
592,1776609900000,10017.82291668732
593,1776610200000,10017.82291668732
594,1776610500000,10017.82291668732
595,1776610800000,10017.82291668732
596,1776611100000,10017.82291668732
597,1776611400000,10017.82291668732
598,1776611700000,10017.82291668732
599,1776612000000,10017.82291668732
600,1776612300000,10017.82291668732
601,1776612600000,10017.82291668732
602,1776612900000,10017.82291668732
603,1776613200000,10013.816588786227
604,1776613500000,10031.947574438553
605,1776613800000,10034.531562892567
606,1776614100000,10033.919042348629
607,1776614400000,10033.919042348629
608,1776614700000,10033.919042348629
609,1776615000000,10033.919042348629
610,1776615300000,10033.919042348629
611,1776615600000,10033.919042348629
612,1776615900000,10033.919042348629
613,1776616200000,10033.919042348629
614,1776616500000,10033.919042348629
615,1776616800000,10033.919042348629
616,1776617100000,10033.919042348629
617,1776617400000,10033.919042348629
618,1776617700000,10033.919042348629
619,1776618000000,10033.919042348629
620,1776618300000,10033.919042348629
621,1776618600000,10033.919042348629
622,1776618900000,10033.919042348629
623,1776619200000,10033.919042348629
624,1776619500000,10033.919042348629
625,1776619800000,10033.919042348629
626,1776620100000,10033.919042348629
627,1776620400000,10033.919042348629
628,1776620700000,10033.919042348629
629,1776621000000,10033.919042348629
630,1776621300000,10033.919042348629
631,1776621600000,10033.919042348629
632,1776621900000,10033.919042348629
633,1776622200000,10033.919042348629
634,1776622500000,10033.919042348629
635,1776622800000,10033.919042348629
636,1776623100000,10033.919042348629
637,1776623400000,10033.919042348629
638,1776623700000,10033.919042348629
639,1776624000000,10033.919042348629
640,1776624300000,10033.919042348629
641,1776624600000,10033.919042348629
642,1776624900000,10033.919042348629
643,1776625200000,10033.919042348629
644,1776625500000,10033.919042348629
645,1776625800000,10033.919042348629
646,1776626100000,10033.919042348629
647,1776626400000,10033.919042348629
648,1776626700000,10033.919042348629
649,1776627000000,10033.919042348629
650,1776627300000,10033.919042348629
651,1776627600000,10033.919042348629
652,1776627900000,10033.919042348629
653,1776628200000,10033.919042348629
654,1776628500000,10033.919042348629
655,1776628800000,10033.919042348629
656,1776629100000,10033.919042348629
657,1776629400000,10033.919042348629
658,1776629700000,10033.919042348629
659,1776630000000,10033.919042348629
660,1776630300000,10033.919042348629
661,1776630600000,10033.919042348629
662,1776630900000,10033.919042348629
663,1776631200000,10033.919042348629
664,1776631500000,10033.919042348629
665,1776631800000,10033.919042348629
666,1776632100000,10033.919042348629
667,1776632400000,10033.919042348629
