type,step,pnl
sell_short,592,
buy_cover,593,39.784939000301165
sell_short,644,
buy_cover,645,-11.008158361073583
sell_short,667,
buy_cover,668,0.816453541692681
sell_short,1189,
buy_cover,1190,-2.5413494356707815
sell_short,1232,
buy_cover,1233,25.59663512543011
sell_short,1477,
buy_cover,1478,75.5897780282703
sell_short,1693,
buy_cover,1694,0.34285302999160194
sell_short,1763,
buy_cover,1764,-54.565326105077474
sell_short,2837,
buy_cover,2838,-3.664883176481453
sell_short,2851,
buy_cover,2852,57.81666288769702
sell_short,3400,
buy_cover,3401,12.68025150842368
sell_short,3793,
buy_cover,3794,35.71055973717921
sell_short,3980,
buy_cover,3981,4.332861706428957
sell_short,4012,
buy_cover,4013,43.77455355382517
sell_short,4169,
buy_cover,4170,-32.07341540361631
sell_short,4334,
buy_cover,4335,66.11255586007792
sell_short,4499,
buy_cover,4500,-11.489621627350061
sell_short,4505,
buy_cover,4529,59.25493576263034
sell_short,4712,
buy_cover,4713,-2.5811432233676896
sell_short,4804,
buy_cover,4805,1.348662007270832
sell_short,5000,
buy_cover,5001,24.834439774444036
sell_short,5015,
buy_cover,5016,17.20234312341745
sell_short,5089,
buy_cover,5090,-31.117122824523904
sell_short,5095,
buy_cover,5096,21.621366710252914
sell_short,5159,
buy_cover,5160,5.136309578791042
sell_short,5291,
buy_cover,5292,-7.21632980393224
sell_short,5453,
buy_cover,5454,-8.713519408882348
sell_short,5492,
buy_cover,5493,30.806049187731332
sell_short,5930,
buy_cover,5931,14.493827518434045
sell_short,6638,
buy_cover,6639,-5.987989845205448
sell_short,6717,
buy_cover,6718,-4.8403255453267775
sell_short,7182,
buy_cover,7183,65.23000968329143
sell_short,7213,
buy_cover,7214,-44.794127395947726
sell_short,7418,
buy_cover,7419,-8.484352134499204
sell_short,7426,
buy_cover,7427,-2.9745017755722074
sell_short,8629,
buy_cover,8630,14.651853031782593
sell_short,8657,
buy_cover,8658,-18.02858347901565
sell_short,8908,
buy_cover,8909,-10.851255175382903
sell_short,9031,
buy_cover,9041,178.59152656962033
sell_short,9122,
buy_cover,9123,0.9152628229967377
sell_short,9162,
buy_cover,9163,4.641621720222247
sell_short,9212,
buy_cover,9213,-8.322083149507307
sell_short,9216,
buy_cover,9217,1.5153293202674831
sell_short,9496,
buy_cover,9497,0.565351368732081
sell_short,9691,
buy_cover,9692,-19.054653045513987
sell_short,9718,
buy_cover,9719,8.922619000868508
sell_short,9931,
buy_cover,9932,-58.266030042368584
sell_short,10357,
buy_cover,10358,7.931652060708075
sell_short,11083,
buy_cover,11084,-5.9634494621004706
sell_short,11479,
buy_cover,11480,10.255682831910235
sell_short,11651,
buy_cover,11652,-0.9544305282888672
sell_short,11737,
buy_cover,11738,-11.765655812678233
sell_short,12131,
buy_cover,12132,6.677859707471725
sell_short,12377,
buy_cover,12378,-6.014914534100171
sell_short,12408,
buy_cover,12409,9.374854057417906
sell_short,12751,
buy_cover,12752,-7.782444502357976
sell_short,13034,
buy_cover,13035,-1.742465271774563
sell_short,13300,
buy_cover,13301,18.23417115189659
sell_short,13329,
buy_cover,13330,2.951721553419702
sell_short,13381,
buy_cover,13382,-29.898344284503764
sell_short,13384,
buy_cover,13385,12.642423984660127
sell_short,13903,
buy_cover,13904,14.904857891373467
sell_short,14113,
buy_cover,14114,27.160725947467654
sell_short,14195,
buy_cover,14196,1.0123595332461264
sell_short,14353,
buy_cover,14354,4.137254465655133
sell_short,14419,
buy_cover,14420,-40.832322708803986
sell_short,14963,
buy_cover,14964,0.658151177876789
sell_short,14980,
buy_cover,14981,-1.3500177562054887
sell_short,15356,
buy_cover,15357,33.74591380433776
sell_short,15721,
buy_cover,15722,1.5657844494417077
sell_short,15766,
buy_cover,15767,2.9243699215367087
sell_short,15830,
buy_cover,15831,-10.54661720351396
sell_short,15850,
buy_cover,15851,-24.510144592997676
sell_short,16147,
buy_cover,16148,-7.862993609105615
sell_short,16332,
buy_cover,16333,5.376791643446268
sell_short,16662,
buy_cover,16663,-3.3276564453353785
sell_short,16801,
buy_cover,16802,-3.6810236522105697
sell_short,16906,
buy_cover,16907,-5.276543045507424
sell_short,16912,
buy_cover,16913,-3.015473155206564
sell_short,16935,
buy_cover,16936,-4.561466558174288
sell_short,17078,
buy_cover,17079,-2.9859429601547163
