type,step,pnl
sell_short,70,
buy_cover,71,6.701637243277219
sell_short,296,
buy_cover,297,1.3522340816743963
sell_short,998,
buy_cover,999,-4.76246424524652
sell_short,1223,
buy_cover,1224,-1.989159054675838
sell_short,4356,
buy_cover,4357,9.640931167308736
sell_short,5245,
buy_cover,5246,-4.000777361787186
sell_short,5406,
buy_cover,5407,-3.998376735340571
sell_short,5548,
buy_cover,5549,-1.3411730754269229
sell_short,5567,
buy_cover,5568,-14.370463144150563
sell_short,5614,
buy_cover,5615,-7.985481589035771
sell_short,5887,
buy_cover,5895,143.92949624941502
sell_short,6914,
buy_cover,6915,-4.040882746927309
sell_short,7598,
buy_cover,7599,-8.07910091919257
sell_short,8046,
buy_cover,8047,-9.79406821273551
sell_short,8155,
buy_cover,8156,-9.374615266793626
sell_short,8251,
buy_cover,8253,-29.720150905799528
