type,step,pnl
sell_short,110,
buy_cover,111,4.08057457274117
buy,119,
sell,120,-1.8456870403279027
sell_short,307,
buy_cover,308,4.419119408727056
buy,435,
sell,436,1.335181751890559
buy,446,
sell,447,13.83377497179572
buy,603,
sell,606,16.09612566130818
sell_short,852,
buy_cover,853,-3.060287309126579
sell_short,861,
buy_cover,862,17.227903791976132
buy,885,
sell,886,12.84852157356545
sell_short,911,
buy_cover,912,2.145936389317285
buy,983,
sell,984,-19.94919402818232
buy,985,
sell,986,0.9111569331507781
sell_short,1097,
buy_cover,1098,-2.9352071047778736
buy,1199,
sell,1200,-1.9502991693734657
sell_short,1540,
buy_cover,1541,1.873570374911651
sell_short,1710,
buy_cover,1717,-6.813501911148705
sell_short,1836,
buy_cover,1837,-10.41918561075181
sell_short,1932,
buy_cover,1940,-10.843734764430337
sell_short,2159,
buy_cover,2160,-2.877413357120531
sell_short,2431,
buy_cover,2432,5.828755898759482
buy,2436,
sell,2441,-5.319206812760967
sell_short,2568,
buy_cover,2569,-6.306659486854187
sell_short,2570,
buy_cover,2571,-3.7367006460717676
buy,2585,
sell,2586,-6.437234648587037
buy,2690,
sell,2700,34.48747145468951
buy,2871,
sell,2872,-0.7483293000823323
