type,step,pnl
sell_short,106,
buy_cover,108,-34.946988162506386
buy,109,
sell,115,-51.33409837813633
sell_short,123,
buy_cover,135,23.02890842402485
sell_short,139,
buy_cover,142,-22.695883554626562
sell_short,148,
buy_cover,155,-17.1145788640697
sell_short,169,
buy_cover,177,19.305141179573184
sell_short,178,
buy_cover,185,-1.6595932922537031
sell_short,186,
buy_cover,198,-10.010426659046061
sell_short,202,
buy_cover,207,-15.583886317277575
sell_short,215,
buy_cover,226,58.200739001007605
sell_short,237,
buy_cover,249,55.67927586916085
sell_short,256,
buy_cover,268,46.431846712228435
sell_short,269,
buy_cover,281,-26.6950035971513
sell_short,283,
buy_cover,293,-3.660346369157196
sell_short,295,
buy_cover,301,-25.3126348977421
buy,323,
sell,327,-26.254989810480765
sell_short,333,
buy_cover,340,-29.657874291804546
sell_short,345,
buy_cover,355,26.21855982580928
sell_short,356,
buy_cover,368,12.871479895795346
sell_short,369,
buy_cover,377,-22.433413451486558
buy,400,
sell,409,-25.167980805377738
sell_short,412,
buy_cover,424,13.076460341582788
sell_short,425,
buy_cover,437,-10.291089072528848
sell_short,443,
buy_cover,447,-36.0134952822973
sell_short,448,
buy_cover,456,-9.624673709322451
sell_short,457,
buy_cover,465,-14.996675870852414
sell_short,469,
buy_cover,473,8.77737869313205
sell_short,474,
buy_cover,486,-1.488346988478952
sell_short,487,
buy_cover,499,12.402283588511636
sell_short,500,
buy_cover,507,22.39324732483692
sell_short,508,
buy_cover,520,-26.10433457313593
sell_short,523,
buy_cover,535,22.294830638131316
sell_short,536,
buy_cover,544,-39.46050825628481
buy,548,
sell,560,10.678866547032158
buy,561,
sell,566,-39.01366320258967
buy,569,
sell,581,27.96487648677612
buy,582,
sell,594,-10.276625499782313
buy,595,
sell,601,-62.56494684890822
sell_short,603,
buy_cover,615,21.660562986371588
sell_short,616,
buy_cover,624,34.02287777886704
sell_short,625,
buy_cover,637,53.688160722957036
sell_short,639,
buy_cover,646,-59.91159108139982
sell_short,647,
buy_cover,659,17.184572083102466
sell_short,660,
buy_cover,672,21.940682473687048
sell_short,673,
buy_cover,685,75.99700814632706
sell_short,686,
buy_cover,698,12.814366180748038
sell_short,699,
buy_cover,707,-47.15502711570298
buy,721,
sell,729,-85.74791675516644
sell_short,732,
buy_cover,744,-15.400044649593838
buy,749,
sell,757,-35.51381370745548
sell_short,759,
buy_cover,760,-19.31178784417898
sell_short,764,
buy_cover,775,-6.09321313131295
sell_short,777,
buy_cover,781,-40.603088082811155
buy,783,
sell,793,88.15871369425622
buy,794,
sell,806,-27.053885528206592
buy,812,
sell,824,44.696668585524094
buy,827,
sell,832,-42.27003909946325
buy,837,
sell,840,-20.188031754662006
buy,844,
sell,856,12.275005376735862
buy,857,
sell,863,-32.75277221602482
buy,864,
sell,868,-49.615816647707106
sell_short,872,
buy_cover,884,71.65119015507844
sell_short,886,
buy_cover,888,-89.9710696842958
buy,896,
sell,902,-30.541721106166733
sell_short,904,
buy_cover,909,-55.52957455173055
buy,910,
sell,922,45.258424209481745
buy,924,
sell,935,-8.905908255443137
buy,936,
sell,948,-1.1641564259807637
buy,952,
sell,957,-55.058282798132495
sell_short,958,
buy_cover,970,6.428439068657099
sell_short,971,
buy_cover,983,25.377568967654952
sell_short,984,
buy_cover,996,-29.79706218270985
buy,1000,
sell,1012,-9.457713478346705
sell_short,1015,
buy_cover,1027,16.62812449508965
sell_short,1028,
buy_cover,1036,-26.11139838304007
sell_short,1040,
buy_cover,1048,-13.863902954521109
buy,1050,
sell,1062,-9.669208077684743
sell_short,1065,
buy_cover,1069,-41.987827461500274
buy,1070,
sell,1073,-17.89640717785005
buy,1074,
sell,1086,-2.968169650661366
buy,1087,
sell,1097,8.930612078131162
buy,1098,
sell,1110,1.6144348466368683
buy,1111,
sell,1123,3.813775499313124
sell_short,1133,
buy_cover,1145,50.22591550305151
sell_short,1146,
buy_cover,1158,-21.0559494051231
sell_short,1159,
buy_cover,1164,-24.954130524052744
buy,1165,
sell,1170,-80.49636488715078
sell_short,1173,
buy_cover,1184,-45.04175909584956
buy,1185,
sell,1194,-38.38394824665738
sell_short,1196,
buy_cover,1202,-10.442843036578779
sell_short,1206,
buy_cover,1218,-29.664436191898858
buy,1219,
sell,1226,-73.25980261465884
sell_short,1227,
buy_cover,1232,-105.84383014820378
buy,1235,
sell,1247,-19.7805631508254
buy,1250,
sell,1252,-18.59631751341476
sell_short,1253,
buy_cover,1265,1.4171131856874126
buy,1268,
sell,1280,24.403848424562966
buy,1281,
sell,1293,-8.448297245722642
sell_short,1296,
buy_cover,1304,-38.27519548690725
buy,1305,
sell,1317,131.0223823357519
buy,1321,
sell,1333,-6.897875396422023
buy,1334,
sell,1346,82.41337376302363
buy,1351,
sell,1363,-9.66636856759942
buy,1364,
sell,1376,-22.026562538294456
buy,1377,
sell,1379,-23.443605365249823
buy,1420,
sell,1432,16.025252456187445
buy,1433,
sell,1445,30.300232447589224
buy,1446,
sell,1453,-72.91391738411403
buy,1468,
sell,1475,-56.31957376349419
sell_short,1476,
buy_cover,1488,3.4304725666715967
sell_short,1489,
buy_cover,1493,-38.012451036009224
buy,1494,
sell,1506,-15.741439536706821
sell_short,1532,
buy_cover,1537,-22.771675352645616
buy,1538,
sell,1548,-33.43984031007494
sell_short,1550,
buy_cover,1562,62.54152639404492
sell_short,1570,
buy_cover,1571,18.62556779253282
sell_short,1572,
buy_cover,1584,36.632676880501094
sell_short,1585,
buy_cover,1597,28.20267406124003
sell_short,1598,
buy_cover,1610,47.78318143074284
sell_short,1612,
buy_cover,1621,-46.55502420906487
sell_short,1634,
buy_cover,1637,-31.468665423846687
sell_short,1661,
buy_cover,1673,4.928899863672996
sell_short,1674,
buy_cover,1686,87.36854053723619
sell_short,1692,
buy_cover,1704,-28.742288200921394
sell_short,1705,
buy_cover,1706,-28.686113756948544
sell_short,1728,
buy_cover,1740,-18.4320213733954
buy,1745,
sell,1757,-22.216211335115077
buy,1758,
sell,1769,-39.751724675033984
sell_short,1770,
buy_cover,1782,57.72297578994039
sell_short,1783,
buy_cover,1795,26.33232354885513
sell_short,1796,
buy_cover,1804,-32.975954638595795
buy,1807,
sell,1819,-0.46080315880681155
buy,1820,
sell,1832,7.597768299197924
buy,1833,
sell,1844,-9.997162003775884
buy,1851,
sell,1863,-1.3295597256637848
buy,1864,
sell,1867,-37.54274447780517
sell_short,1868,
buy_cover,1876,-23.988084623229952
buy,1879,
sell,1883,-33.92162605850717
sell_short,1884,
buy_cover,1896,50.48672062939113
sell_short,1901,
buy_cover,1913,0.1819205757801683
sell_short,1914,
buy_cover,1923,-14.909961566147103
sell_short,1970,
buy_cover,1980,-19.686967801188075
buy,1981,
sell,1993,55.36703984238375
buy,1994,
sell,2006,-23.98459405565336
sell_short,2009,
buy_cover,2011,-42.53330120546707
buy,2012,
sell,2018,-21.10554174241588
sell_short,2020,
buy_cover,2032,8.763389218664088
sell_short,2033,
buy_cover,2041,-9.13485068267255
buy,2043,
sell,2050,-51.21376348454214
buy,2053,
sell,2056,-39.413857109087985
sell_short,2057,
buy_cover,2061,-23.033190324509633
sell_short,2062,
buy_cover,2070,-17.938403485553863
buy,2071,
