type,step,pnl
sell_short,971,
buy_cover,980,-9.348592836286116
sell_short,1426,
buy_cover,1427,-2.275301999445219
sell_short,2375,
buy_cover,2383,-9.480939914572446
sell_short,3305,
buy_cover,3313,3.045456064364771
sell_short,4059,
buy_cover,4060,8.950767582644403
sell_short,4589,
buy_cover,4594,-9.383709162735613
sell_short,5811,
buy_cover,5835,55.775702741986606
sell_short,8070,
buy_cover,8092,55.92620181809252
sell_short,8379,
buy_cover,8403,111.30930097150849
sell_short,9353,
buy_cover,9356,2.085289365184508
sell_short,12284,
buy_cover,12286,-7.651533589092651
sell_short,14707,
buy_cover,14708,4.497180861098968
sell_short,16110,
buy_cover,16117,-6.914269451648579
sell_short,16332,
buy_cover,16345,-12.996967218017744
