type,step,pnl
sell_short,592,
buy_cover,594,41.47304845573308
sell_short,667,
buy_cover,669,-18.363444867525686
sell_short,1189,
buy_cover,1191,-154.70500922655265
sell_short,1232,
buy_cover,1234,-1.6701614168287051
sell_short,1477,
buy_cover,1479,74.80155793013
sell_short,2837,
buy_cover,2839,-12.068773815166423
sell_short,3400,
buy_cover,3402,18.1192771604492
sell_short,3793,
buy_cover,3795,8.013634853008625
sell_short,4012,
buy_cover,4014,33.05061344119895
sell_short,4169,
buy_cover,4171,-37.451949731064815
sell_short,4334,
buy_cover,4336,94.52064351950867
sell_short,4505,
buy_cover,4526,72.59674771356367
sell_short,4712,
buy_cover,4714,-3.79604945866231
sell_short,4804,
buy_cover,4806,-1.6424226463168452
sell_short,5000,
buy_cover,5002,26.855482472506992
sell_short,5015,
buy_cover,5017,31.444296832629334
sell_short,5095,
buy_cover,5097,16.248521148638247
sell_short,5291,
buy_cover,5293,-9.961044714305899
sell_short,5453,
buy_cover,5455,-15.529552499536294
sell_short,5492,
buy_cover,5494,14.846011640513098
sell_short,5930,
buy_cover,5932,-6.390625810938218
sell_short,6638,
buy_cover,6640,14.37745496354728
sell_short,6717,
buy_cover,6719,-4.433381104596265
sell_short,7182,
buy_cover,7184,35.98064315635747
sell_short,7213,
buy_cover,7215,-16.568537699506123
sell_short,7418,
buy_cover,7420,-15.51142693291331
sell_short,7426,
buy_cover,7428,0.3192888355588366
sell_short,8629,
buy_cover,8632,-9.1251149075797
sell_short,8657,
buy_cover,8659,-8.161296264128396
sell_short,8908,
buy_cover,8910,-8.941902988695801
sell_short,9031,
buy_cover,9039,139.04755398782436
sell_short,9122,
buy_cover,9124,2.393107931166014
sell_short,9162,
buy_cover,9164,2.4592372711013013
sell_short,9212,
buy_cover,9214,-13.630882907715204
sell_short,9216,
buy_cover,9218,4.046173290689694
sell_short,9496,
buy_cover,9498,-0.29537414754850033
sell_short,9691,
buy_cover,9693,-36.45360754107969
sell_short,9718,
buy_cover,9720,10.522318328705296
sell_short,9931,
buy_cover,9933,-30.2859147070576
sell_short,10357,
buy_cover,10365,72.25867987853599
sell_short,11083,
buy_cover,11085,8.804889578532311
sell_short,11479,
buy_cover,11481,29.06618168647765
sell_short,11737,
buy_cover,11739,-16.617348465626492
sell_short,12131,
buy_cover,12133,27.865710144405966
sell_short,12377,
buy_cover,12379,1.8654565144988737
sell_short,12408,
buy_cover,12410,14.896752427155661
sell_short,13034,
buy_cover,13036,4.996403474917315
sell_short,13300,
buy_cover,13302,19.68889523396865
sell_short,13329,
buy_cover,13331,-1.6473371515439794
sell_short,13903,
buy_cover,13905,22.7953110043145
sell_short,14113,
buy_cover,14115,24.284952103947944
sell_short,14195,
buy_cover,14197,21.58903661844488
sell_short,14353,
buy_cover,14355,-6.0810343944413034
sell_short,14419,
buy_cover,14421,-19.516772475555626
sell_short,14963,
buy_cover,14965,-1.0279273479482072
sell_short,14980,
buy_cover,14982,-3.071334746971843
sell_short,15721,
buy_cover,15723,-22.201379236095818
sell_short,15766,
buy_cover,15768,9.326555907447982
sell_short,15830,
buy_cover,15832,-17.016466397799377
sell_short,15850,
buy_cover,15852,-6.548127880962056
sell_short,16662,
buy_cover,16664,-5.086967550802001
sell_short,16801,
buy_cover,16803,-4.508279409665192
sell_short,16912,
buy_cover,16914,-6.839176126126404
sell_short,16935,
buy_cover,16937,-10.2177690235294
sell_short,17078,
buy_cover,17080,1.4012770251556503
