type,step,pnl
sell_short,592,
buy_cover,594,41.47304845573308
sell_short,667,
buy_cover,669,-18.363444867525686
sell_short,1232,
buy_cover,1234,-1.6966995038874302
sell_short,1477,
buy_cover,1479,75.99011984775461
sell_short,2837,
buy_cover,2839,-12.260541010207817
sell_short,3793,
buy_cover,3795,8.127743972678218
sell_short,4505,
buy_cover,4526,73.01234573480542
sell_short,4804,
buy_cover,4806,-1.65277718926518
sell_short,5000,
buy_cover,5002,27.024791052892397
sell_short,5015,
buy_cover,5017,31.6425352840688
sell_short,5291,
buy_cover,5293,-10.009804277733565
sell_short,5453,
buy_cover,5455,-15.605570048079244
sell_short,5492,
buy_cover,5494,14.918683239422535
sell_short,5930,
buy_cover,5932,-6.421908084381357
sell_short,6717,
buy_cover,6719,-4.449656108394265
sell_short,7418,
buy_cover,7420,-15.544821710858741
sell_short,8629,
buy_cover,8632,-9.146301534399754
sell_short,8657,
buy_cover,8659,-8.180245103683774
sell_short,8908,
buy_cover,8910,-8.962664235390548
sell_short,9031,
buy_cover,9039,139.3703936086422
sell_short,9212,
buy_cover,9214,-13.661518867293125
sell_short,9496,
buy_cover,9498,-0.2959800292592263
sell_short,9691,
buy_cover,9693,-36.52838244706254
sell_short,9931,
buy_cover,9933,-30.32276423595249
sell_short,10357,
buy_cover,10365,72.34659858060695
sell_short,11737,
buy_cover,11739,-16.58279944615606
sell_short,12408,
buy_cover,12410,14.828677127505216
sell_short,13300,
buy_cover,13302,19.59331759307497
sell_short,13329,
buy_cover,13331,-1.6393403291313007
sell_short,13903,
buy_cover,13905,22.684653599550074
sell_short,14113,
buy_cover,14115,24.16706339542725
sell_short,14353,
buy_cover,14355,-6.040112724364008
sell_short,14980,
buy_cover,14982,-3.057957048966273
sell_short,16662,
buy_cover,16664,-5.08682910166317
sell_short,16801,
buy_cover,16803,-4.508156710355252
